page,route,room,pov,allowed_environment_themes,ui_theme_compatibility,role_state,physical_ui_objects,responsive_state,data_surface,access_policy,security_authority,public_projection,camera_security_boundary,responsive_gate,deployment_gate,animation_profile,object_state_contract,responsive_transform_root
profile,profile.html,PROFILE SUITE,P-10,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",government-housing-desk,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-11,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",section focus anchor requires verification,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
profile,profile.html,PROFILE SUITE,P-12,"day,sunset,night,rain,mist,storm",environment-driven; no fixed light/dark branch,"owner,seeker,broker",broker-gate,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,owner users/* + publicProfiles/* + scoped subcollections + messaging/KYC,authenticated,Firestore rules + authenticated callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
broker-hq,broker-hq.html,BROKER HQ,B-01,"day,sunset,night,rain",environment-driven; no fixed light/dark branch,broker,broker-desk,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,broker data/contracts + owner/seeker public projections,broker,Broker capability rules + callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
broker-hq,broker-hq.html,BROKER HQ,B-02,"day,sunset,night,rain",environment-driven; no fixed light/dark branch,broker,broker-request-board,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,broker data/contracts + owner/seeker public projections,broker,Broker capability rules + callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
broker-hq,broker-hq.html,BROKER HQ,B-03,"day,sunset,night,rain",environment-driven; no fixed light/dark branch,broker,section focus anchor requires verification,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,broker data/contracts + owner/seeker public projections,broker,Broker capability rules + callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
broker-hq,broker-hq.html,BROKER HQ,B-04,"day,sunset,night,rain",environment-driven; no fixed light/dark branch,broker,broker-intelligence-map,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,broker data/contracts + owner/seeker public projections,broker,Broker capability rules + callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
broker-hq,broker-hq.html,BROKER HQ,B-05,"day,sunset,night,rain",environment-driven; no fixed light/dark branch,broker,broker-discovery-wall,mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,broker data/contracts + owner/seeker public projections,broker,Broker capability rules + callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",mobile-portrait:NOT_RUN; mobile-landscape:NOT_RUN; tablet:NOT_RUN; desktop:NOT_RUN; wide-desktop:NOT_RUN; reduced-motion:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
broker-hq,broker-hq.html,BROKER HQ,B-06,"day,sunset,night,rain",environment-driven; no fixed light/dark branch,broker,section focus anchor requires verification,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,broker data/contracts + owner/seeker public projections,broker,Broker capability rules + callables,publicProfiles/{uid} for visitor/discovery identity; authoritative users/{uid} restricted by rules,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,publicProfiles sync/backfill must be deployed before public-profile read path is considered production-ready,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
admin,admin.html,OPERATIONS,A-01,"day,night,storm",environment-driven; no fixed light/dark branch,admin,admin-approval-desk|admin-kyc-lockbox|admin-orders-ledger|admin-user-registry|admin-boost-console,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,users/KYC/orders/config governance,admin,Admin rules + privileged callables,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
moderator,moderator.html,OPERATIONS,A-02,"day,night,storm",environment-driven; no fixed light/dark branch,moderator,moderation-board|moderator-payment-ledger|moderator-wanted-board|moderator-contracts-desk,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,moderation queues/report views,moderator,Moderator rules + scoped callables,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
staff,staff.html,OPERATIONS,A-03,"day,night,storm",environment-driven; no fixed light/dark branch,staff,staff-support-desk|staff-reports-board|staff-orders-ledger|staff-user-lookup|staff-alerts-console,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,support/gov content/config,staff,Staff rules + scoped callables,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
financing-guide,financing.html,REFERENCE,G-01,"day,mist,night",environment-driven; no fixed light/dark branch,public,government-reference-desk,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,config/govDisclaimers + public gov content,public reference,Public allowlist + published-content rules,public published content only,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
legal-privacy,privacy.html,REFERENCE,LGL-01,"day,mist,night",environment-driven; no fixed light/dark branch,public,section focus anchor requires verification,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,static policy content,public reference,No sensitive runtime read required,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
legal-terms,terms.html,REFERENCE,LGL-02,"day,mist,night",environment-driven; no fixed light/dark branch,public,section focus anchor requires verification,desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,static policy content,public reference,No sensitive runtime read required,none,"presentation-only; never grants access, mutates roles, approves KYC, or changes payment state",desktop:NOT_RUN; mobile-landscape:NOT_RUN; mobile-portrait:NOT_RUN; reduced-motion:NOT_RUN; tablet:NOT_RUN; wide-desktop:NOT_RUN,none,state,"idle,hover,focus,interaction-start,ui-open,loading,success,error,empty,disabled","mobile-portrait,mobile-landscape,compact,tablet,desktop,wide-desktop"
