element_type,element_id,attribute,reference,name,present
pieceOfFurniture,pieceOfFurniture-227f4fdd-b4d1-4196-ac2e-c3d5ace78e7e,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-227f4fdd-b4d1-4196-ac2e-c3d5ace78e7e,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-3290d15f-2e93-4fb7-a1bc-6dda178fbaf9,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-3290d15f-2e93-4fb7-a1bc-6dda178fbaf9,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-3cf97e7d-1513-4c61-8906-43c92d155532,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-3cf97e7d-1513-4c61-8906-43c92d155532,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-7cc6ddb7-1636-4a66-86aa-f8aa2d7a39db,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-7cc6ddb7-1636-4a66-86aa-f8aa2d7a39db,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-6c3a7f07-032b-4051-bc79-01a4a9df43ef,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-6c3a7f07-032b-4051-bc79-01a4a9df43ef,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-01840eae-a927-4ebb-a850-a4ef16105fa6,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-01840eae-a927-4ebb-a850-a4ef16105fa6,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-2a3809b3-4046-4055-8450-6d36d850f880,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-2a3809b3-4046-4055-8450-6d36d850f880,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-1a7f786c-7b45-462f-9445-e1e84d861667,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-1a7f786c-7b45-462f-9445-e1e84d861667,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-18611d16-13c0-48d9-8c5c-766db2010dbb,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-18611d16-13c0-48d9-8c5c-766db2010dbb,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-725fd70d-1009-479a-8866-f02d3d99add2,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-725fd70d-1009-479a-8866-f02d3d99add2,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-f9c74d45-3f84-44a3-97f4-86ebf1c4b2bc,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-f9c74d45-3f84-44a3-97f4-86ebf1c4b2bc,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-183924d9-f950-4e39-bc73-73d1ac95d2bb,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-183924d9-f950-4e39-bc73-73d1ac95d2bb,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-7ad656c1-65bb-44a1-95f8-d1b9bee43e81,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-7ad656c1-65bb-44a1-95f8-d1b9bee43e81,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-21a4cd51-b30c-40f2-b8b6-d275197faf01,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-21a4cd51-b30c-40f2-b8b6-d275197faf01,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-157800aa-d01a-4256-9888-354fa70735a5,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-157800aa-d01a-4256-9888-354fa70735a5,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-07201ce5-5b5d-4cfd-826c-590c9083b6d7,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-07201ce5-5b5d-4cfd-826c-590c9083b6d7,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-4a64e71b-3146-4aab-b6f0-24b639e7fe89,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-4a64e71b-3146-4aab-b6f0-24b639e7fe89,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-eab762ce-4045-40e5-91e5-1d0576a0fe90,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-eab762ce-4045-40e5-91e5-1d0576a0fe90,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-e9b16250-6efa-4cef-b768-5d6e802260c1,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-e9b16250-6efa-4cef-b768-5d6e802260c1,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-5a80d51f-1dfa-41d3-853d-429509a70f5a,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-5a80d51f-1dfa-41d3-853d-429509a70f5a,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-899b0634-e8b3-4f16-af2c-e8cb43d0a72a,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-899b0634-e8b3-4f16-af2c-e8cb43d0a72a,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-a620a133-646f-484e-b219-3ea013100f2d,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-a620a133-646f-484e-b219-3ea013100f2d,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-4356b35a-9a45-43b8-85a3-429a317e7566,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-4356b35a-9a45-43b8-85a3-429a317e7566,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-b6eadaae-8d17-4a31-ad9c-11dfb64447fd,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-b6eadaae-8d17-4a31-ad9c-11dfb64447fd,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-619fea2e-6c4d-4932-8843-99b4a5367d9e,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-619fea2e-6c4d-4932-8843-99b4a5367d9e,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-979487a4-746c-433e-93f5-cb8ba9c53c26,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-979487a4-746c-433e-93f5-cb8ba9c53c26,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-a69a3bf8-15dd-4f14-beff-ee3b5f8446df,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-a69a3bf8-15dd-4f14-beff-ee3b5f8446df,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-3d150812-c67b-4927-a47c-e656defc627b,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-3d150812-c67b-4927-a47c-e656defc627b,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-148d1ee8-de7c-4506-bbcd-6c828d168cde,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-148d1ee8-de7c-4506-bbcd-6c828d168cde,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-3297ab1f-1737-436e-8349-2cf9bb577869,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-3297ab1f-1737-436e-8349-2cf9bb577869,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-a871c214-5a4c-475c-8666-0bea583b8871,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-a871c214-5a4c-475c-8666-0bea583b8871,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-f5656a0d-112e-4076-a029-748de28e2892,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-f5656a0d-112e-4076-a029-748de28e2892,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-1ae7d1f5-ce6e-4a08-b9de-1e20cb527cd1,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-1ae7d1f5-ce6e-4a08-b9de-1e20cb527cd1,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-c88f22d5-96b6-46ae-af16-c9f873343593,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-c88f22d5-96b6-46ae-af16-c9f873343593,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-edcad4ee-2e3e-417e-90ad-1112f19e19bf,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-edcad4ee-2e3e-417e-90ad-1112f19e19bf,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-5c987415-67d3-4cdc-a77b-373d0493ba5b,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-5c987415-67d3-4cdc-a77b-373d0493ba5b,icon,81,Box,True
pieceOfFurniture,pieceOfFurniture-3b62e993-40ce-428b-959e-492bcff6749b,model,19/roundTable.obj,Round table,True
pieceOfFurniture,pieceOfFurniture-3b62e993-40ce-428b-959e-492bcff6749b,icon,20,Round table,True
texture,,image,93,Old wood,True
pieceOfFurniture,pieceOfFurniture-c99a2870-9d68-4f7b-9553-aa5b300b23ad,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-c99a2870-9d68-4f7b-9553-aa5b300b23ad,icon,81,Box,True
texture,,image,18,Small stones roughcast,True
pieceOfFurniture,pieceOfFurniture-cdb41e91-7b3b-4e36-94ae-783694b5b88a,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-cdb41e91-7b3b-4e36-94ae-783694b5b88a,icon,81,Box,True
texture,,image,17,Grass darker,True
pieceOfFurniture,pieceOfFurniture-74eaa58c-ac0d-4e1e-b9d7-9452d35af411,model,80/texturableBox.obj,Box,True
pieceOfFurniture,pieceOfFurniture-74eaa58c-ac0d-4e1e-b9d7-9452d35af411,icon,81,Box,True
texture,,image,16,Old red roof,True
doorOrWindow,doorOrWindow-084e4aac-b73a-4e78-a804-ee88ffd4c4d3,model,14/frontDoor.obj,Front door,True
doorOrWindow,doorOrWindow-084e4aac-b73a-4e78-a804-ee88ffd4c4d3,icon,15,Front door,True
texture,,image,25,Oak,True
doorOrWindow,doorOrWindow-6117c253-b0f5-4398-915c-81c554e038e2,model,12/halfRoundWindow.obj,Half round window,True
doorOrWindow,doorOrWindow-6117c253-b0f5-4398-915c-81c554e038e2,icon,13,Half round window,True
doorOrWindow,doorOrWindow-94dbaf0a-3933-4ca1-8b26-cc2a4de04938,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-94dbaf0a-3933-4ca1-8b26-cc2a4de04938,icon,75,Door,True
doorOrWindow,doorOrWindow-5a9a4d99-8766-4176-8fa6-68a201410887,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-5a9a4d99-8766-4176-8fa6-68a201410887,icon,75,Door,True
doorOrWindow,doorOrWindow-217f13c4-dfdd-4d43-9428-5f495a8d88ed,model,74/door.obj,Door,True
doorOrWindow,doorOrWindow-217f13c4-dfdd-4d43-9428-5f495a8d88ed,icon,75,Door,True
texture,,image,11,Pastel yellow sponge wallpaint,True
texture,,image,11,Pastel yellow sponge wallpaint,True
texture,,image,9,Gray waves,True
texture,,image,8,Pink clouds,True
texture,,image,9,Gray waves,True
texture,,image,8,Pink clouds,True
texture,,image,9,Gray waves,True
texture,,image,10,Red lines,True
texture,,image,5,Butterflies,True
texture,,image,5,Butterflies,True
texture,,image,7,Pastel lilac sponge wallpaint,True
texture,,image,6,White tile,True
texture,,image,7,Pastel lilac sponge wallpaint,True
texture,,image,8,Pink clouds,True
texture,,image,6,White tile,True
texture,,image,5,Butterflies,True
texture,,image,10,Red lines,True
texture,,image,10,Red lines,True
texture,,image,5,Butterflies,True
texture,,image,10,Red lines,True
texture,,image,7,Pastel lilac sponge wallpaint,True
texture,,image,6,White tile,True
texture,,image,9,Gray waves,True
texture,,image,5,Butterflies,True
texture,,image,8,Pink clouds,True
texture,,image,11,Pastel yellow sponge wallpaint,True
texture,,image,7,Pastel lilac sponge wallpaint,True
texture,,image,5,Butterflies,True
texture,,image,6,White tile,True
texture,,image,10,Red lines,True
texture,,image,7,Pastel lilac sponge wallpaint,True
texture,,image,10,Red lines,True
texture,,image,6,White tile,True
texture,,image,8,Pink clouds,True
texture,,image,10,Red lines,True
texture,,image,11,Pastel yellow sponge wallpaint,True
texture,,image,10,Red lines,True
texture,,image,10,Red lines,True
texture,,image,4,Blue slates,True
texture,,image,18,Small stones roughcast,True
texture,,image,3,Fantasy mosaic,True
texture,,image,2,Chess wooden floor,True
texture,,image,1,Tiled stones,True
texture,,image,2,Chess wooden floor,True
texture,,image,2,Chess wooden floor,True
texture,,image,4,Blue slates,True
texture,,image,2,Chess wooden floor,True
doorOrWindow,add-doorOrWindow-0427ab9e-332f-493e-85c0-90e82a8093f1,icon,139,Double small window,False
doorOrWindow,add-doorOrWindow-6481b0f1-302f-4d58-90b6-bca6aefbdbf8,icon,137,Door frame,False
pieceOfFurniture,add-pieceOfFurniture-71c6f3c9-2de9-4fe0-b6b3-6ecb0f3b8ece,icon,135,Staircase,False
pieceOfFurniture,add-pieceOfFurniture-8500b09d-a679-4595-918d-586928d66e23,icon,133,Armchair,False
pieceOfFurniture,add-pieceOfFurniture-c473ce44-d780-44cd-8508-3195a5a2ab24,icon,133,Armchair,False
doorOrWindow,add-doorOrWindow-b5f75d3e-7a04-4c87-b6d8-d2f271171c26,icon,139,Double small window,False
doorOrWindow,add-doorOrWindow-0a798c44-b011-4dac-a96a-6107012cd36e,icon,139,Double small window,False
pieceOfFurniture,add-pieceOfFurniture-244eba35-aea6-4c1c-9adc-315b478bd5e4,icon,131,Cooker,False
pieceOfFurniture,add-pieceOfFurniture-90c6dac6-e94f-4057-b086-ff9fc5a3f30d,icon,129,Dishwasher,False
pieceOfFurniture,add-pieceOfFurniture-c7d0f1aa-2467-4f83-8a6b-787f61768347,icon,127,Sink,False
pieceOfFurniture,add-pieceOfFurniture-5f2332e5-7cfe-45dd-b4c5-4e6a1f242eb3,icon,125,Square table,False
pieceOfFurniture,add-pieceOfFurniture-8f99878f-0001-4dc2-82f2-c3615deec7f5,icon,123,Stool,False
pieceOfFurniture,add-pieceOfFurniture-b7b0c27f-e7c6-44a5-ad28-3a4a62b6b93c,icon,125,Square table,False
pieceOfFurniture,add-pieceOfFurniture-b6ece99e-2244-43f4-a2c6-d1e6a11d3083,icon,121,Kitchen cabinet,False
pieceOfFurniture,add-pieceOfFurniture-c54d03c2-49fd-4cce-ad39-0c4ac182d080,icon,119,Wardrobe,False
pieceOfFurniture,add-pieceOfFurniture-ec23fbdb-c7ab-42d6-85bc-bf7681879c47,icon,123,Stool,False
pieceOfFurniture,add-pieceOfFurniture-81bbf785-0ae9-4e85-858d-51e07b8480a6,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-13e31e6e-f0e9-415c-8228-795786179962,icon,119,Wardrobe,False
doorOrWindow,add-doorOrWindow-eb59f607-28de-4696-b9c8-3300bb6b5d5b,icon,115,Rounded door,False
texture,,image,113,Bleached wood,False
doorOrWindow,add-doorOrWindow-d0edcf0e-00ca-4e67-a9c0-17de0d49ac5c,icon,115,Rounded door,False
texture,,image,113,Bleached wood,False
doorOrWindow,add-doorOrWindow-898dba25-8ce4-4088-9d56-2b7bf17d118e,icon,115,Rounded door,False
texture,,image,113,Bleached wood,False
doorOrWindow,add-doorOrWindow-7df82e15-d7fd-41b0-a439-00cb2483c426,icon,115,Rounded door,False
doorOrWindow,add-doorOrWindow-2de85f12-659c-4772-8ddc-734f87d2cc13,icon,139,Double small window,False
pieceOfFurniture,add-pieceOfFurniture-d85c8213-8cb9-4433-9ade-540c7c2d194c,icon,112,Toilet unit,False
pieceOfFurniture,add-pieceOfFurniture-445a6d92-324c-4ba6-9d28-742080d2f9ac,icon,110,Cylinder,False
texture,,image,108,Gray medium thick carpeting,False
shelfUnit,add-shelfUnit-629af29a-ba87-4011-b3c7-01186ece0359,icon,107,Bedside table,False
texture,,image,105,Dark brown,False
pieceOfFurniture,add-pieceOfFurniture-4accdc0c-b702-40a7-8280-5e24c7094555,icon,104,Washbasin with cabinet,False
pieceOfFurniture,add-pieceOfFurniture-5d8fc850-fbce-4dcc-bdc8-b705d9e47e6a,icon,112,Toilet unit,False
doorOrWindow,add-doorOrWindow-87a6489f-23a3-4348-94d4-58df44cc641c,icon,139,Double small window,False
pieceOfFurniture,add-pieceOfFurniture-1afc90e8-7e86-4adf-8c03-ba4a306458c0,icon,119,Wardrobe,False
shelfUnit,add-shelfUnit-89e962dd-90a3-4d6f-9359-0f80dfe999a1,icon,107,Bedside table,False
pieceOfFurniture,add-pieceOfFurniture-f546aa34-951b-4263-8ca1-1b953e443af0,icon,102,Chair,False
shelfUnit,add-shelfUnit-30bf2316-79b3-472f-b905-48734e6485d4,icon,100,Bookcase,False
doorOrWindow,add-doorOrWindow-5258f67f-b010-42db-9e24-0c3f3969bcc3,icon,98,Small window,False
pieceOfFurniture,add-pieceOfFurniture-39f80123-cf34-49e1-a4cb-c6c232f34961,icon,96,Corner bunk bed,False
pieceOfFurniture,add-pieceOfFurniture-f685fb15-5d96-4924-8784-534d24dd485d,icon,119,Wardrobe,False
pieceOfFurniture,add-pieceOfFurniture-b38d3b9d-b52d-45da-af0f-c828e5570a83,icon,94,Chest,False
doorOrWindow,add-doorOrWindow-58a228fc-599f-46d4-afce-2fec91260369,icon,139,Double small window,False
pieceOfFurniture,add-pieceOfFurniture-8e35a9ba-d4bf-41a9-8dbf-70907a12498e,icon,102,Chair,False
pieceOfFurniture,add-pieceOfFurniture-e4ce8dac-afec-4452-bc48-68cf03b50ee8,icon,102,Chair,False
doorOrWindow,add-doorOrWindow-2b032d9a-1e80-47ba-aa72-2b1f5f692e9a,icon,139,Double small window,False
pieceOfFurniture,add-pieceOfFurniture-af503aa8-7526-44c5-b83e-ce941ae35736,icon,121,Kitchen cabinet,False
pieceOfFurniture,add-pieceOfFurniture-d26fd418-8c06-4233-bafe-24317707b4c3,icon,92,Fridge & Freezer,True
pieceOfFurniture,add-pieceOfFurniture-dd534abb-53fd-46e6-9089-a585d3e0eec3,icon,90,Clothes washer,True
pieceOfFurniture,add-pieceOfFurniture-0459d7cf-6d8d-47fa-afd2-9d70eb0d7d0c,icon,121,Kitchen cabinet,False
doorOrWindow,add-doorOrWindow-96d7d070-3b9e-40eb-9d36-1aba2a23ce3a,icon,115,Rounded door,False
texture,,image,113,Bleached wood,False
shelfUnit,add-shelfUnit-3d7a65cb-59c7-49c1-97ba-eff3b3596a5a,icon,100,Bookcase,False
pieceOfFurniture,add-pieceOfFurniture-7b087012-53f5-4fb7-9101-2b09a38f4597,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-aa713a4d-f0e8-4b9a-bac9-20f57351ca31,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-6ebc7988-3260-4dba-811e-39627118a750,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-2f4cebc8-593b-45db-a51a-c2a08cda6e1f,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-947443b0-ecdd-4897-ab88-61d51e53b28a,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-5914c815-626a-4129-bacb-6c7958329cdc,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-59dd10df-b48a-4438-a478-5db3b3a73d85,icon,117,Plant,False
doorOrWindow,add-doorOrWindow-af48fe05-e394-4fae-8589-fa959a41aa7f,icon,98,Small window,False
doorOrWindow,add-doorOrWindow-27c0603a-b070-49ac-bc32-071398127ef7,icon,88,Fixed window,True
doorOrWindow,add-doorOrWindow-12a7f7f9-7d40-4a20-ab16-bb6c573b2544,icon,88,Fixed window,True
doorOrWindow,add-doorOrWindow-3499c7d7-bc23-4f65-ae88-b2fd01a6767a,icon,139,Double small window,False
doorOrWindow,add-doorOrWindow-a9d2243f-7915-4e3b-ade2-84ea750d93e3,icon,115,Rounded door,False
texture,,image,113,Bleached wood,False
pieceOfFurniture,add-pieceOfFurniture-c4cdc625-da86-4f64-ac01-615a61a29a5c,icon,104,Washbasin with cabinet,False
pieceOfFurniture,add-pieceOfFurniture-a1857ac3-5475-4a13-984b-1b15e10c19fd,icon,86,Shower,False
pieceOfFurniture,add-pieceOfFurniture-6c96979e-8cd8-4d49-bea7-519148a9b005,icon,84,Bath,False
pieceOfFurniture,add-pieceOfFurniture-2fa989ed-6d51-42a3-9882-e5b4450c6504,icon,82,Flowers,False
pieceOfFurniture,add-pieceOfFurniture-41693d64-0c94-41a5-8bfe-1303290818cb,icon,80,Flat TV,False
pieceOfFurniture,add-pieceOfFurniture-37c7171f-9b0b-4cda-9aed-f7436e0b3bd5,icon,78,Electric radiator,False
pieceOfFurniture,add-pieceOfFurniture-083c0c66-c3b9-4cba-a4fb-3d1fa8dc8c80,icon,76,Kitchen upper cabinet,False
pieceOfFurniture,add-pieceOfFurniture-d765e483-3a59-4992-b7cb-bec5d06e415c,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-1163caf5-7322-4d4a-813e-2ac7b7844aa8,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-d479be73-bea8-4bc8-a8b6-9cea0f7c53da,icon,117,Plant,False
pieceOfFurniture,add-pieceOfFurniture-42a549e5-3b6d-43e6-9cfc-66bc3be03030,icon,78,Electric radiator,False
pieceOfFurniture,add-pieceOfFurniture-6f71930f-7df8-4793-8c1f-d2435ef9f829,icon,82,Flowers,False
pieceOfFurniture,add-pieceOfFurniture-28b0d95d-2e2d-47e9-8ad9-f18468234f32,icon,78,Electric radiator,False
pieceOfFurniture,add-pieceOfFurniture-e16bb5d7-4b57-4a74-811e-49a211aa275e,icon,102,Chair,False
pieceOfFurniture,add-pieceOfFurniture-b8457e82-cc90-4f17-99c6-6881ce6ad13c,icon,102,Chair,False
pieceOfFurniture,add-pieceOfFurniture-7f10fb5c-0d9e-4922-ad09-c5a75f4d6300,icon,78,Electric radiator,False
pieceOfFurniture,add-pieceOfFurniture-3b14f22f-8aa7-4a96-b650-779117b54e0f,icon,78,Electric radiator,False
shelfUnit,add-shelfUnit-b4d5c124-2959-4027-9207-600e53d1923f,icon,100,Bookcase,False
pieceOfFurniture,add-pieceOfFurniture-68c30113-caff-4615-98aa-867d4483d962,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-6359afd0-123c-4a7d-acac-04651a30a608,icon,74,Box,False
texture,,image,105,Dark brown,False
pieceOfFurniture,add-pieceOfFurniture-243b3027-9665-4526-950f-62f3f7e732a7,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-1c1e398b-be43-4369-a07e-c7b8f34e806c,icon,82,Flowers,False
pieceOfFurniture,add-pieceOfFurniture-d2fd56f0-c32d-43e7-a8fe-e579d82f46a8,icon,78,Electric radiator,False
light,add-light-0c0a4669-5a15-4f23-a3c3-256008578d11,icon,72,Pendant lamp,False
pieceOfFurniture,add-pieceOfFurniture-b169091f-baec-4296-a5bc-b0135ec1be65,icon,78,Electric radiator,False
pieceOfFurniture,add-pieceOfFurniture-4ba82c5b-b8b1-4fac-91b6-17c32c2b7568,icon,78,Electric radiator,False
light,add-light-f9db51ee-6070-4315-9f8c-4a5e680d0cce,icon,72,Pendant lamp,False
pieceOfFurniture,add-pieceOfFurniture-67367764-85c8-456f-b7de-c3bb403655be,icon,70,Curve staircase,False
pieceOfFurniture,add-pieceOfFurniture-832b2690-e8da-429b-8974-2acb2aff23ae,icon,68,Bed 90x190,False
pieceOfFurniture,add-pieceOfFurniture-7331c5f6-9f3b-43d8-b1e8-847a915783d2,icon,78,Electric radiator,False
doorOrWindow,add-doorOrWindow-20899be4-b9af-4664-9c62-53e8a180a001,icon,66,Front door,False
texture,,image,113,Bleached wood,False
pieceOfFurniture,add-pieceOfFurniture-6d69c9b7-4cf1-43bb-bc03-3aa080b08c1d,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-9c4954a8-b5c4-40e4-8b0c-b1cb3d215934,icon,133,Armchair,False
pieceOfFurniture,add-pieceOfFurniture-93801e58-325d-4889-8bbd-74ebd1d060a0,icon,64,Piano,False
pieceOfFurniture,add-pieceOfFurniture-94e15c22-0121-488e-afa5-85b7a4b2b555,icon,76,Kitchen upper cabinet,False
doorOrWindow,add-doorOrWindow-d5a0bef5-04a1-45e1-97ff-24dc9ec62226,icon,98,Small window,False
pieceOfFurniture,add-pieceOfFurniture-9fef356a-a35c-43bf-a7c8-783ba5aa993c,icon,76,Kitchen upper cabinet,False
pieceOfFurniture,add-pieceOfFurniture-334544a1-efba-475b-bb87-c14b7299b404,icon,76,Kitchen upper cabinet,False
pieceOfFurniture,add-pieceOfFurniture-e1d4a8f4-7734-44f7-a4fb-5d7b8a622fa4,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-b19df5cc-45c6-40e9-8c22-df4c1987cdcb,icon,62,Sliding doors,False
pieceOfFurniture,add-pieceOfFurniture-3e98dd2c-1779-4d01-8725-69be259099e5,icon,125,Square table,False
pieceOfFurniture,add-pieceOfFurniture-3da8c90f-4c65-4b0f-b5c1-62f9db2db17b,icon,125,Square table,False
pieceOfFurniture,add-pieceOfFurniture-a2691f36-9348-4dfd-81f5-3aef18654300,icon,60,Bed,False
shelfUnit,add-shelfUnit-c986310b-5c31-46c6-aa8f-a91be10fe086,icon,107,Bedside table,False
shelfUnit,add-shelfUnit-f9c16297-1905-471d-9715-53959b75037f,icon,107,Bedside table,False
light,add-light-f27a12b7-ad90-4c81-aebc-339dfdf6ba21,icon,58,Work lamp,False
light,add-light-aa0237e6-25ba-4141-a1ab-a7f7065c3c40,icon,58,Work lamp,False
light,add-light-6ad81886-ed09-4f1f-92a1-0399b5b1878a,icon,58,Work lamp,False
light,add-light-4a41df46-81cc-4ae4-a66b-8be7250a6711,icon,58,Work lamp,False
pieceOfFurniture,add-pieceOfFurniture-712fb39e-5a2e-4682-a5b2-6ec0d42f5946,icon,110,Cylinder,False
texture,,image,113,Bleached wood,False
pieceOfFurniture,add-pieceOfFurniture-da7137f9-6d5d-4ec3-84bc-35b7cddad02a,icon,110,Cylinder,False
texture,,image,113,Bleached wood,False
pieceOfFurniture,add-pieceOfFurniture-bb9f885e-22e1-4801-88af-809def94e378,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-29495e06-38e2-4c44-a383-d378a2bd3895,icon,125,Square table,False
pieceOfFurniture,add-pieceOfFurniture-6dbafe8f-909d-4c64-b2e2-7759d95922b4,icon,102,Chair,False
pieceOfFurniture,add-pieceOfFurniture-3878a1fa-367b-496f-854b-bb2101f85cc0,icon,102,Chair,False
pieceOfFurniture,add-pieceOfFurniture-85c1b0e2-fae5-4c5a-ab5d-158332063b9f,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-de215648-09a7-41fc-bc71-5b7c7cf225d6,icon,74,Box,False
texture,,image,56,Round blue slates,False
pieceOfFurniture,add-pieceOfFurniture-89c812cf-2008-4bf8-92d3-4bb29ce5624f,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-c2dec297-44fe-4a19-97ae-6aeba8cbc2c7,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-a57eca1c-ded1-4661-a666-87f9bd76c207,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-d1f5498b-b614-4f8d-9aab-f74ed855d73d,icon,74,Box,False
pieceOfFurniture,add-pieceOfFurniture-be9e3ffc-dcf7-42e5-9a87-2b250ebc34c2,icon,74,Box,False
texture,,image,56,Round blue slates,False
pieceOfFurniture,add-pieceOfFurniture-6423b5a4-a705-41ae-953c-23ca66ae0796,icon,74,Box,False
texture,,image,56,Round blue slates,False
